patient_id,condition,label,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,delta_mfcc_0_mean,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,jitter_local,jitter_rap,jitter_ppq5,shimmer_local,shimmer_apq3,shimmer_apq5,hnr_mean,f1_mean,f2_mean,f3_mean,f1_std,f2_std,energy_mean,energy_std,energy_max,rms_mean,rms_std,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_contrast_mean,spec_contrast_std,spec_flatness_mean,spec_flatness_std,spec_rolloff_mean,spec_rolloff_std,zcr_mean,zcr_std,pause_frequency,pause_duration_mean,speech_rate,chroma_0_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean
Avatar Video_1080p (1)_seg0,adhd,3,-330.2349853515625,107.06376647949219,-5.5373945236206055,69.17293548583984,-27.642169952392578,49.91797637939453,-4.29332971572876,50.024993896484375,-20.595012664794922,38.70356750488281,-10.860367774963379,22.683969497680664,-19.6968936920166,24.842206954956055,-13.531840324401855,20.431690216064453,-25.804658889770508,18.629776000976562,-10.187986373901367,20.47529411315918,-10.586715698242188,15.53844928741455,-7.84835958480835,15.568717956542969,-13.378703117370605,15.472464561462402,-0.7573899626731873,-0.044787220656871796,0.08746901154518127,0.09423751384019852,0.06405892968177795,0.004120154306292534,0.10015688836574554,-0.017568668350577354,0.022025544196367264,-0.05044214054942131,0.05900640785694122,-0.007857351563870907,-0.06289412826299667,206.30663912152886,77.16196709275357,75.76065555240753,597.9981327999003,522.2374772474927,0.019635289704693512,0.008033926262648962,0.008345817669362555,0.11559696309277549,0.04065124898402551,0.06091259918465439,7.43696293859322,1171.9976919917592,2128.62219505409,3149.0684875773013,598.9649955622303,636.0360456157566,0.03669015318155289,0.029235461726784706,0.15935032069683075,0.046943059735962626,0.029235461726784706,2989.441014601403,1263.188524701642,1708.6045416862148,338.9167883089239,22.360588135518757,6.436667273573517,0.03954840078949928,0.06508584320545197,4820.574225293132,1449.9670516399226,0.2848658985029313,0.16314753942653146,63,0.17070535714285714,0.3144654088050315,0.29727858304977417,0.29348719120025635,0.33558952808380127,0.35294750332832336,0.35962995886802673,0.3703899085521698,0.3516450524330139,0.2787415385246277,0.2927449941635132,0.33549562096595764,0.3580053150653839,0.3279821574687958
Avatar Video_1080p (1)_seg_0,adhd,3,-330.2349853515625,107.06376647949219,-5.5373945236206055,69.17293548583984,-27.642169952392578,49.91797637939453,-4.29332971572876,50.024993896484375,-20.595012664794922,38.70356750488281,-10.860367774963379,22.683969497680664,-19.6968936920166,24.842206954956055,-13.531840324401855,20.431690216064453,-25.804658889770508,18.629776000976562,-10.187986373901367,20.47529411315918,-10.586715698242188,15.53844928741455,-7.84835958480835,15.568717956542969,-13.378703117370605,15.472464561462402,-0.7573899626731873,-0.044787220656871796,0.08746901154518127,0.09423751384019852,0.06405892968177795,0.004120154306292534,0.10015688836574554,-0.017568668350577354,0.022025544196367264,-0.05044214054942131,0.05900640785694122,-0.007857351563870907,-0.06289412826299667,206.30663912152886,77.16196709275357,75.76065555240753,597.9981327999003,522.2374772474927,0.019635289704693512,0.008033926262648962,0.008345817669362555,0.11559696309277549,0.04065124898402551,0.06091259918465439,7.43696293859322,1171.9976919917592,2128.62219505409,3149.0684875773013,598.9649955622303,636.0360456157566,0.03669015318155289,0.029235461726784706,0.15935032069683075,0.046943059735962626,0.029235461726784706,2989.441014601403,1263.188524701642,1708.6045416862148,338.9167883089239,22.360588135518757,6.436667273573517,0.03954840078949928,0.06508584320545197,4820.574225293132,1449.9670516399226,0.2848658985029313,0.16314753942653146,63,0.17070535714285714,0.3144654088050315,0.29727858304977417,0.29348719120025635,0.33558952808380127,0.35294750332832336,0.35962995886802673,0.3703899085521698,0.3516450524330139,0.2787415385246277,0.2927449941635132,0.33549562096595764,0.3580053150653839,0.3279821574687958
Avatar Video_1080p (10)_seg0,adhd,3,-334.94464111328125,94.93257141113281,-7.61818790435791,61.0208740234375,-35.505428314208984,56.51605987548828,17.179258346557617,44.944618225097656,-29.842382431030273,36.10414505004883,-10.483909606933594,25.096637725830078,-19.62250518798828,24.386943817138672,-12.635680198669434,21.90294075012207,-19.863082885742188,18.963085174560547,-16.121978759765625,15.665114402770996,-11.68120288848877,17.687191009521484,-14.528700828552246,20.40953826904297,4.835142135620117,14.344186782836914,-0.36235812306404114,-0.04355742782354355,0.3388186991214752,0.20573703944683075,0.05171610042452812,-0.10014814138412476,0.019590063020586967,0.08485110849142075,-0.0951889157295227,0.07194721698760986,-0.015733493492007256,0.00744334701448679,0.02918318845331669,232.8171867292772,76.29537100730445,75.49363095081497,587.8980046999127,512.4043737490977,0.013267161911603797,0.005175445513135367,0.005745197839490348,0.1041281600096883,0.029693248236698184,0.045116327781685436,9.445634847983348,917.8661764925403,2046.4423637398747,3029.3500610449187,562.814268320251,550.8484435072347,0.03638504445552826,0.032321542501449585,0.16587604582309723,0.04871401948245724,0.032321542501449585,3121.6749827993226,1282.5101914839336,1605.118557203474,366.1314010084657,22.28324092524842,6.607568250709702,0.026894766837358475,0.04197182506322861,4873.009640381282,1401.2655512096867,0.292364533687175,0.14741120328769264,71,0.1838327464788732,0.43360433604336046,0.27525293827056885,0.2700378894805908,0.2415558397769928,0.2778659462928772,0.34562385082244873,0.36741068959236145,0.37692707777023315,0.33182159066200256,0.31066203117370605,0.3671359717845917,0.36803096532821655,0.3108062446117401
Avatar Video_1080p (10)_seg_0,adhd,3,-334.94464111328125,94.93257141113281,-7.61818790435791,61.0208740234375,-35.505428314208984,56.51605987548828,17.179258346557617,44.944618225097656,-29.842382431030273,36.10414505004883,-10.483909606933594,25.096637725830078,-19.62250518798828,24.386943817138672,-12.635680198669434,21.90294075012207,-19.863082885742188,18.963085174560547,-16.121978759765625,15.665114402770996,-11.68120288848877,17.687191009521484,-14.528700828552246,20.40953826904297,4.835142135620117,14.344186782836914,-0.36235812306404114,-0.04355742782354355,0.3388186991214752,0.20573703944683075,0.05171610042452812,-0.10014814138412476,0.019590063020586967,0.08485110849142075,-0.0951889157295227,0.07194721698760986,-0.015733493492007256,0.00744334701448679,0.02918318845331669,232.8171867292772,76.29537100730445,75.49363095081497,587.8980046999127,512.4043737490977,0.013267161911603797,0.005175445513135367,0.005745197839490348,0.1041281600096883,0.029693248236698184,0.045116327781685436,9.445634847983348,917.8661764925403,2046.4423637398747,3029.3500610449187,562.814268320251,550.8484435072347,0.03638504445552826,0.032321542501449585,0.16587604582309723,0.04871401948245724,0.032321542501449585,3121.6749827993226,1282.5101914839336,1605.118557203474,366.1314010084657,22.28324092524842,6.607568250709702,0.026894766837358475,0.04197182506322861,4873.009640381282,1401.2655512096867,0.292364533687175,0.14741120328769264,71,0.1838327464788732,0.43360433604336046,0.27525293827056885,0.2700378894805908,0.2415558397769928,0.2778659462928772,0.34562385082244873,0.36741068959236145,0.37692707777023315,0.33182159066200256,0.31066203117370605,0.3671359717845917,0.36803096532821655,0.3108062446117401
Avatar Video_1080p (11)_seg0,adhd,3,-310.8101501464844,97.10285949707031,-1.421907901763916,72.80224609375,-27.880611419677734,44.22269821166992,0.6480590105056763,45.58089828491211,-6.311877250671387,32.34210205078125,-15.211012840270996,30.39140510559082,-14.776774406433105,27.316736221313477,-12.842750549316406,23.40907096862793,-18.201658248901367,19.41826057434082,-12.54224967956543,22.288942337036133,-7.800833702087402,14.748991012573242,-3.545897960662842,16.1585636138916,-1.168955683708191,14.663579940795898,-0.2768095135688782,-0.16138222813606262,-0.0172252394258976,0.38659268617630005,0.25635382533073425,-0.15349137783050537,-0.14208820462226868,0.018797600641846657,0.005491156131029129,-0.03611994534730911,-0.014382054097950459,-0.010151131078600883,0.03381355479359627,238.3817097021021,171.96030515833996,75.55015492736531,590.1498332461614,514.5996783187961,0.028689086827127147,0.014612097488047007,0.01821648889274189,0.1643641958715545,0.07036021779767446,0.08961034367660305,5.722452561002242,1212.7681185997856,2124.9481357060795,3128.305965069609,546.6355861414489,596.6971300928778,0.03297121077775955,0.023559192195534706,0.13384652137756348,0.04057465034831944,0.023559192195534706,3099.0092584774434,1167.5805404243256,1702.507808243241,400.1269751243366,21.65513977513625,6.397848523780074,0.03562072291970253,0.03923638537526131,4863.44115497076,1552.2601706096991,0.3067891081871345,0.1332235529931258,67,0.12298507462686564,0.4875076173065204,0.32510897517204285,0.37101075053215027,0.38015300035476685,0.35928428173065186,0.3347989618778229,0.3195632994174957,0.3126976191997528,0.302474707365036,0.32111233472824097,0.33581745624542236,0.3402480483055115,0.3414197564125061
Avatar Video_1080p (11)_seg1,adhd,3,-313.75030517578125,95.92112731933594,3.760948657989502,69.39915466308594,-28.101173400878906,44.686180114746094,-0.44742676615715027,43.16361618041992,-11.192485809326172,32.54133605957031,-13.585429191589355,27.29600715637207,-13.556900978088379,27.20924949645996,-9.711404800415039,21.038105010986328,-18.569257736206055,20.49260902404785,-7.816905498504639,20.80486297607422,-8.324034690856934,14.633955001831055,-5.949586391448975,15.858175277709961,0.7587507963180542,14.328432083129883,-1.022713541984558,-0.0662870928645134,-0.024741381406784058,0.2619434893131256,0.03389137610793114,-0.10649817436933517,0.09933390468358994,0.11894411593675613,-0.006970188580453396,-0.060699574649333954,0.05380898341536522,-0.03876631334424019,-0.0050214738585054874,201.992528998912,153.28661840445878,75.82656316075177,598.7308119291084,522.9042487683566,0.02393946160249103,0.01036866242779532,0.012846735592600217,0.16809299394215818,0.06913491163471468,0.10222478755173857,5.888480844118738,1208.4561734468407,2118.458057208482,3139.5231179688535,569.1939981145082,597.8054564153441,0.030233561992645264,0.02444891631603241,0.12502703070640564,0.03895123744384467,0.02444891631603241,3016.6328677745046,1096.6058752192707,1729.2811900670442,395.1066162268983,21.24442438613759,6.113243382453153,0.04240257665514946,0.04873327165842056,4892.963665943601,1427.2490411092967,0.2996871186957701,0.12902770997741858,55,0.18115454545454548,0.5431093007467753,0.3194400370121002,0.3503929078578949,0.4108022451400757,0.4062401354312897,0.38006827235221863,0.3695933520793915,0.3548251688480377,0.3138599991798401,0.30856186151504517,0.3153631389141083,0.3507002890110016,0.3617134094238281
Avatar Video_1080p (11)_seg_0,adhd,3,-310.8101501464844,97.10285949707031,-1.421907901763916,72.80224609375,-27.880611419677734,44.22269821166992,0.6480590105056763,45.58089828491211,-6.311877250671387,32.34210205078125,-15.211012840270996,30.39140510559082,-14.776774406433105,27.316736221313477,-12.842750549316406,23.40907096862793,-18.201658248901367,19.41826057434082,-12.54224967956543,22.288942337036133,-7.800833702087402,14.748991012573242,-3.545897960662842,16.1585636138916,-1.168955683708191,14.663579940795898,-0.2768095135688782,-0.16138222813606262,-0.0172252394258976,0.38659268617630005,0.25635382533073425,-0.15349137783050537,-0.14208820462226868,0.018797600641846657,0.005491156131029129,-0.03611994534730911,-0.014382054097950459,-0.010151131078600883,0.03381355479359627,238.3817097021021,171.96030515833996,75.55015492736531,590.1498332461614,514.5996783187961,0.028689086827127147,0.014612097488047007,0.01821648889274189,0.1643641958715545,0.07036021779767446,0.08961034367660305,5.722452561002242,1212.7681185997856,2124.9481357060795,3128.305965069609,546.6355861414489,596.6971300928778,0.03297121077775955,0.023559192195534706,0.13384652137756348,0.04057465034831944,0.023559192195534706,3099.0092584774434,1167.5805404243256,1702.507808243241,400.1269751243366,21.65513977513625,6.397848523780074,0.03562072291970253,0.03923638537526131,4863.44115497076,1552.2601706096991,0.3067891081871345,0.1332235529931258,67,0.12298507462686564,0.4875076173065204,0.32510897517204285,0.37101075053215027,0.38015300035476685,0.35928428173065186,0.3347989618778229,0.3195632994174957,0.3126976191997528,0.302474707365036,0.32111233472824097,0.33581745624542236,0.3402480483055115,0.3414197564125061
Avatar Video_1080p (11)_seg_1,adhd,3,-313.75030517578125,95.92112731933594,3.760948657989502,69.39915466308594,-28.101173400878906,44.686180114746094,-0.44742676615715027,43.16361618041992,-11.192485809326172,32.54133605957031,-13.585429191589355,27.29600715637207,-13.556900978088379,27.20924949645996,-9.711404800415039,21.038105010986328,-18.569257736206055,20.49260902404785,-7.816905498504639,20.80486297607422,-8.324034690856934,14.633955001831055,-5.949586391448975,15.858175277709961,0.7587507963180542,14.328432083129883,-1.022713541984558,-0.0662870928645134,-0.024741381406784058,0.2619434893131256,0.03389137610793114,-0.10649817436933517,0.09933390468358994,0.11894411593675613,-0.006970188580453396,-0.060699574649333954,0.05380898341536522,-0.03876631334424019,-0.0050214738585054874,201.992528998912,153.28661840445878,75.82656316075177,598.7308119291084,522.9042487683566,0.02393946160249103,0.01036866242779532,0.012846735592600217,0.16809299394215818,0.06913491163471468,0.10222478755173857,5.888480844118738,1208.4561734468407,2118.458057208482,3139.5231179688535,569.1939981145082,597.8054564153441,0.030233561992645264,0.02444891631603241,0.12502703070640564,0.03895123744384467,0.02444891631603241,3016.6328677745046,1096.6058752192707,1729.2811900670442,395.1066162268983,21.24442438613759,6.113243382453153,0.04240257665514946,0.04873327165842056,4892.963665943601,1427.2490411092967,0.2996871186957701,0.12902770997741858,55,0.18115454545454548,0.5431093007467753,0.3194400370121002,0.3503929078578949,0.4108022451400757,0.4062401354312897,0.38006827235221863,0.3695933520793915,0.3548251688480377,0.3138599991798401,0.30856186151504517,0.3153631389141083,0.3507002890110016,0.3617134094238281
Avatar Video_1080p (12)_seg0,adhd,3,-342.560546875,97.69702911376953,8.845446586608887,80.12606811523438,-28.068735122680664,58.14189147949219,37.499481201171875,45.14459991455078,-7.3545122146606445,36.25962448120117,-16.711843490600586,33.15940475463867,-12.049782752990723,25.580095291137695,-35.752803802490234,22.911029815673828,-27.0693302154541,21.527177810668945,-6.099402904510498,22.983917236328125,-14.287921905517578,16.890369415283203,-7.094503402709961,18.614656448364258,-10.75626277923584,15.635540008544922,-0.5203508138656616,-0.14398008584976196,0.17574679851531982,0.10626307874917984,0.023553142324090004,0.03970766067504883,0.051427993923425674,0.019074566662311554,-0.024724850431084633,0.016778165474534035,0.008235004730522633,-0.039241913706064224,0.04197889193892479,196.4087675131598,152.93768010212483,75.87915977875774,595.303925286057,519.4247655072993,0.023331735807811078,0.009992211408311585,0.012542957686363836,0.14459691319380524,0.05249401862414481,0.07082242801526933,6.756173453060322,1190.65847202119,2249.0712304626186,3149.50366574334,593.4239914467787,570.3577497916314,0.0328792929649353,0.0246486384421587,0.12043073773384094,0.04111996079415126,0.0246486384421587,2914.418183545566,1299.8557230482238,1511.3678414998894,393.0977615669588,22.37313555900908,6.528601951810513,0.026405012235045433,0.044882483780384064,4429.672504798465,1524.9209949844844,0.2913323986324376,0.14996235180628767,62,0.1711360887096774,0.42042042042042044,0.2716072201728821,0.30764710903167725,0.3509571850299835,0.3739635646343231,0.3262310326099396,0.32230979204177856,0.37528201937675476,0.39492911100387573,0.41476714611053467,0.3968023359775543,0.29786890745162964,0.24373824894428253
Avatar Video_1080p (12)_seg1,adhd,3,-344.72552490234375,94.18705749511719,14.881548881530762,80.28856658935547,-27.81251335144043,58.17075729370117,41.64599609375,46.55864334106445,-12.011519432067871,39.62289810180664,-15.283195495605469,31.8198299407959,-12.006844520568848,26.560054779052734,-32.53759002685547,20.033044815063477,-32.67298889160156,21.706998825073242,-6.952717304229736,23.53455352783203,-17.07168960571289,15.721362113952637,-5.899709701538086,17.541608810424805,-12.801495552062988,15.678505897521973,-0.0934789627790451,-0.053596749901771545,-0.037026431411504745,-0.047057099640369415,0.018555618822574615,0.14368115365505219,0.006312448065727949,0.028075188398361206,-0.05155480280518532,-0.045418497174978256,0.015756454318761826,0.044772516936063766,0.00686701899394393,165.94154600973735,127.06609585705002,75.09458213310872,587.7462773545444,512.6516952214357,0.023819736687117826,0.008609181048958617,0.010545644809344546,0.13800665731179762,0.04449675573492179,0.0552469761387509,6.106034218592402,1186.5364385910013,2279.6388568687917,3147.9128663577003,607.6303281094354,578.0084027442458,0.030202379450201988,0.022463778033852577,0.12262740731239319,0.037654494141579134,0.022463778033852577,2802.3470767543054,1242.9929809502523,1495.1043254837307,386.8515813307673,22.18801760273396,6.331335319266236,0.02699126861989498,0.04352319985628128,4313.077577821012,1528.8123218151472,0.27519873236867703,0.1405039968280411,64,0.1565556640625,0.48661800486618,0.2529239356517792,0.303880512714386,0.38853833079338074,0.42189475893974304,0.35711944103240967,0.29082193970680237,0.3573824465274811,0.3905599117279053,0.397897869348526,0.3989349901676178,0.33296287059783936,0.2548728287220001
